TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao
AZUL4,41.89,1800.0,4196.97,4196.97,112.14,112.14,0.0,0.0,0.0,0.0,187600.26,1262
PETR3,27.47,32.3,17.58,297.4,3.29,31.78,279.82,28.49,40.97,149.14,34.92,1263
PETR4,27.0,30.71,13.74,295.95,2.61,31.68,282.21,29.07,39.37,145.81,33.93,1263
PRIO3,11.1,41.76,276.08,276.68,30.33,30.38,0.6,0.04,0.07,0.65,41.59,1263
SBSP3,44.36,133.07,200.01,240.96,24.57,27.8,40.95,3.23,10.19,22.98,29.65,1263
CMIG4,7.02,11.16,58.95,210.83,9.71,25.46,151.88,15.75,6.29,89.57,27.75,1263
CPLE6,7.08,14.26,101.38,209.44,15.03,25.35,108.06,10.32,3.26,46.09,26.57,1227
BPAC11,20.64,52.19,152.83,188.43,20.38,23.6,35.61,3.21,4.08,19.78,35.48,1263
ELET6,27.12,52.48,93.5,167.99,14.11,21.79,74.49,7.68,10.7,39.46,29.28,1263
UGPA3,10.1,20.97,107.64,157.82,15.73,20.85,50.18,5.12,3.74,36.99,64.58,1263
CPFE3,30.85,53.76,74.26,138.45,11.75,18.98,64.19,7.23,9.83,31.86,24.12,1263
TIMS3,14.14,21.64,53.04,132.62,8.88,18.39,79.58,9.51,6.64,46.96,24.82,1263
VIVT3,21.82,32.74,50.05,107.08,8.45,15.67,57.04,7.22,7.67,35.14,22.12,1263
TAEE11,33.63,41.97,24.8,105.82,4.53,15.53,81.02,11.0,19.19,57.07,17.45,1263
ITSA4,8.59,11.63,35.31,102.99,6.24,15.21,67.68,8.98,3.76,43.72,22.35,1263
EQTL3,21.98,38.3,74.22,101.7,11.74,15.06,27.48,3.32,4.52,20.54,25.77,1263
ITUB4,26.87,39.15,45.72,100.87,7.82,14.97,55.15,7.15,9.46,35.22,25.46,1263
SLCE3,9.77,14.79,51.32,97.41,8.64,14.57,46.09,5.93,4.64,47.44,30.68,1263
GOAU4,8.04,8.91,10.82,89.38,2.08,13.62,78.57,11.55,4.58,56.9,30.87,1263
VBBR3,19.39,25.76,32.84,87.82,5.84,13.44,54.98,7.59,6.87,35.43,33.0,1263
ELET3,33.63,50.0,48.68,86.52,8.26,13.28,37.84,5.02,9.2,27.36,33.21,1263
BBSE3,28.97,35.74,23.37,85.91,4.29,13.2,62.54,8.91,13.36,46.13,20.94,1263
BBAS3,18.08,21.68,19.94,79.58,3.7,12.42,59.64,8.72,8.54,47.26,27.42,1263
BRAP4,28.72,20.08,-30.09,73.71,-6.91,11.68,103.8,18.59,22.53,78.44,29.01,1263
TOTS3,25.78,40.98,58.98,70.55,9.72,11.27,11.57,1.55,2.22,8.61,35.58,1263
GGBR4,18.47,20.51,11.06,64.89,2.12,10.52,53.83,8.4,8.19,44.34,32.74,1263
WEGE3,35.81,48.25,34.76,51.45,6.15,8.66,16.7,2.51,4.78,13.35,31.03,1263
VALE3,82.95,72.38,-12.74,50.98,-2.69,8.59,63.72,11.28,41.28,49.77,29.79,1263
ENEV3,14.1,20.02,41.99,41.99,7.26,7.26,0.0,0.0,0.0,0.0,31.5,1263
ENGI11,43.95,47.09,7.13,40.73,1.39,7.07,33.6,5.68,11.1,25.26,26.68,1263
