TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
UNIP3,34.5,58.87,70.62,214.44,11.28,25.75,143.82,14.47,41.07,119.03,30.49,1263,67.06771124790151
MILS3,7.07,14.0,98.02,139.17,14.64,19.05,41.15,4.41,1.85,26.12,42.72,1263,29.56815405619027
SAPR4,5.18,7.8,50.58,110.53,8.53,16.05,59.95,7.52,1.65,31.91,25.13,1263,54.238668234868356
TAEE4,11.14,14.15,27.02,109.04,4.9,15.89,82.02,10.99,6.4,57.43,17.28,1263,75.22010271460013
ENGI11,43.95,47.09,7.13,40.73,1.39,7.07,33.6,5.68,11.1,25.26,26.68,1263,82.4944758163516
CYRE3,29.67,23.96,-19.25,12.84,-4.18,2.44,32.08,6.63,8.45,28.49,41.53,1263,100.0
LOGG3,33.25,25.35,-23.76,10.83,-5.28,2.08,34.59,7.36,8.49,25.53,38.9,1263,100.0
ECOR3,12.82,10.51,-18.02,-10.76,-3.9,-2.25,7.26,1.64,0.59,4.64,43.95,1263,0.0
EVEN3,12.76,7.5,-41.22,-12.84,-10.08,-2.71,28.38,7.37,3.15,24.71,41.88,1263,0.0
MOVI3,20.7,9.9,-52.17,-37.38,-13.72,-8.94,14.8,4.78,3.02,14.59,54.85,1263,0.0
PNVL3,22.33,12.11,-45.77,-39.55,-11.52,-9.58,6.22,1.94,1.24,5.56,32.88,1263,0.0
