TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
VULC3,7.65,19.91,160.37,343.99,21.09,34.73,183.61,13.64,9.84,128.68,35.48,1263,53.37655164394314
POMO3,2.05,5.55,170.33,338.03,22.01,34.37,167.7,12.36,2.1,102.4,35.34,1263,49.610981273851436
UNIP3,34.5,58.87,70.62,214.44,11.28,25.75,143.82,14.47,41.07,119.03,30.49,1263,67.06771124790151
ITSA3,9.0,12.11,34.62,100.02,6.13,14.87,65.41,8.75,3.74,41.59,20.88,1263,65.39692061587682
BBAS3,18.08,21.68,19.94,79.58,3.7,12.42,59.64,8.72,8.54,47.26,27.42,1263,74.94345312892688
ISAE4,27.8,26.9,-3.24,47.53,-0.66,8.09,50.77,8.74,10.49,37.72,20.3,1261,100.0
ENGI11,43.95,47.09,7.13,40.73,1.39,7.07,33.6,5.68,11.1,25.26,26.68,1263,82.4944758163516
BBDC3,19.03,15.64,-17.83,19.88,-3.85,3.69,37.7,7.54,5.39,28.34,27.46,1263,100.0
GRND3,8.28,4.54,-45.17,12.33,-11.32,2.35,57.49,13.68,4.67,56.41,32.23,1263,100.0
FLRY3,25.55,14.83,-41.97,-22.05,-10.31,-4.86,19.92,5.45,4.66,18.24,30.39,1263,0.0
