TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao
PRIO3,0.2,40.42,20417.77,20450.72,70.3,70.33,32.95,0.03,0.07,36.88,64.47,2510
BRAP4,2.56,20.3,693.44,2828.28,23.01,40.17,2134.85,17.16,28.61,1118.2,40.26,2510
MGLU3,0.37,9.29,2442.7,2584.61,38.21,38.96,141.91,0.75,1.68,460.86,67.63,2510
BPAC11,4.55,52.86,1061.76,1460.97,27.79,31.63,399.21,3.83,5.1,112.12,43.37,2201
PETR4,7.6,30.31,298.82,1396.47,14.84,31.07,1097.65,16.24,41.23,542.46,44.12,2510
PETR3,9.33,32.02,243.19,1103.23,13.12,28.24,860.03,15.12,41.96,449.73,44.11,2510
ELET3,5.97,49.95,737.0,1024.02,23.67,27.37,287.02,3.7,11.69,195.82,50.79,2510
GOAU4,1.49,9.08,511.43,1012.21,19.85,27.24,500.78,7.39,4.92,331.31,45.67,2510
VALE3,13.3,72.9,448.12,1008.63,18.55,27.2,560.51,8.65,48.56,365.14,40.33,2510
ELET6,8.53,52.6,516.76,911.0,19.95,26.03,394.23,6.08,14.7,172.39,43.49,2510
WEGE3,6.02,48.28,701.58,884.59,23.14,25.7,183.01,2.56,5.61,93.14,33.8,2510
CPLE6,2.92,14.26,388.49,853.87,17.19,25.3,465.37,8.11,4.09,139.96,34.95,2478
SBSP3,18.71,136.97,632.06,832.99,22.03,25.02,200.93,3.0,12.78,68.29,35.47,2510
CMIG4,3.44,11.15,224.21,730.96,12.48,23.58,506.75,11.1,7.44,216.31,39.61,2510
SLCE3,3.58,16.0,346.34,651.39,16.14,22.35,305.05,6.21,6.88,191.79,34.22,2510
EQTL3,6.96,38.43,452.49,592.92,18.64,21.36,140.43,2.72,5.5,79.13,26.92,2510
