TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
VULC3,7.14,19.78,176.89,372.16,22.59,36.4,195.26,13.81,9.84,137.74,35.52,1267,52.466680997420454
VLID3,9.18,21.07,129.41,224.28,18.06,26.53,94.88,8.46,6.37,69.35,45.05,1267,42.30426252898163
POMO4,2.87,5.92,106.21,203.02,15.57,24.82,96.81,9.25,2.34,81.45,38.61,1267,47.6849571470791
RANI3,5.14,8.58,66.93,146.9,10.79,19.81,79.97,9.02,3.11,60.45,34.56,1267,54.43839346494214
FESA4,4.49,6.98,55.63,128.37,9.25,17.96,72.74,8.71,3.7,82.55,37.82,1267,56.664329672041745
SAPR11,24.89,39.86,60.14,119.91,9.88,17.07,59.77,7.2,7.56,30.38,26.15,1267,49.845717621549504
SAPR4,4.98,7.65,53.61,111.69,8.96,16.18,58.07,7.22,1.54,30.93,25.29,1267,51.99212104933297
ITSA4,8.24,11.59,40.72,111.51,7.07,16.16,70.78,9.09,3.77,45.81,22.45,1267,63.47412788090754
ISAE4,26.91,27.77,3.2,56.11,0.63,9.32,52.92,8.69,10.27,38.18,20.28,1265,94.3147389057209
BMOB3,22.16,22.9,3.34,31.05,0.66,5.56,27.71,4.9,4.24,19.14,38.28,1216,89.24315619967794
MRVE3,19.86,7.74,-61.03,-57.8,-17.18,-15.85,3.23,1.33,1.04,5.21,49.26,1267,0.0
